Waktu_Laptop,Waktu_Boot_ESP32_ms,Ketinggian_m,Pitch_deg,Roll_deg
2026-05-21 10:59:24,6823610, Ketinggian (Altitude) : 2008.33, Kemiringan (pitch) : -11.14, Kemiringan (roll) : 7.47
2026-05-21 10:59:25,6824614, Ketinggian (Altitude) : 2008.30, Kemiringan (pitch) : -3.88, Kemiringan (roll) : -5.46
2026-05-21 10:59:26,6825618, Ketinggian (Altitude) : 2008.24, Kemiringan (pitch) : 1.77, Kemiringan (roll) : 8.27
2026-05-21 10:59:27,6826622, Ketinggian (Altitude) : 2008.22, Kemiringan (pitch) : 1.26, Kemiringan (roll) : 8.71
2026-05-21 10:59:28,6827626, Ketinggian (Altitude) : 2008.16, Kemiringan (pitch) : -11.11, Kemiringan (roll) : 13.19
2026-05-21 10:59:29,6828630, Ketinggian (Altitude) : 2008.10, Kemiringan (pitch) : 7.90, Kemiringan (roll) : -0.90
2026-05-21 10:59:30,6829634, Ketinggian (Altitude) : 2008.06, Kemiringan (pitch) : -14.17, Kemiringan (roll) : -0.14
2026-05-21 10:59:31,6830638, Ketinggian (Altitude) : 2008.00, Kemiringan (pitch) : 1.53, Kemiringan (roll) : 1.76
2026-05-21 10:59:32,6831642, Ketinggian (Altitude) : 2007.94, Kemiringan (pitch) : 8.30, Kemiringan (roll) : 5.34
2026-05-21 10:59:33,6832646, Ketinggian (Altitude) : 2007.86, Kemiringan (pitch) : 8.56, Kemiringan (roll) : 10.80
2026-05-21 10:59:34,6833650, Ketinggian (Altitude) : 2007.80, Kemiringan (pitch) : 2.58, Kemiringan (roll) : 7.04
2026-05-21 10:59:35,6834654, Ketinggian (Altitude) : 2007.71, Kemiringan (pitch) : 21.92, Kemiringan (roll) : -0.96
2026-05-21 10:59:36,6835658, Ketinggian (Altitude) : 2007.64, Kemiringan (pitch) : 20.65, Kemiringan (roll) : 11.40
2026-05-21 10:59:37,6836662, Ketinggian (Altitude) : 2007.60, Kemiringan (pitch) : 16.98, Kemiringan (roll) : -2.83
2026-05-21 10:59:38,6837666, Ketinggian (Altitude) : 2007.47, Kemiringan (pitch) : 10.69, Kemiringan (roll) : 6.04
2026-05-21 10:59:39,6838670, Ketinggian (Altitude) : 2007.37, Kemiringan (pitch) : 9.66, Kemiringan (roll) : 2.61
2026-05-21 10:59:40,6839674, Ketinggian (Altitude) : 2007.27, Kemiringan (pitch) : 13.47, Kemiringan (roll) : 1.67
2026-05-21 10:59:41,6840678, Ketinggian (Altitude) : 2007.15, Kemiringan (pitch) : 5.43, Kemiringan (roll) : 7.96
2026-05-21 10:59:42,6841682, Ketinggian (Altitude) : 2007.04, Kemiringan (pitch) : -0.29, Kemiringan (roll) : -8.37
2026-05-21 10:59:43,6842686, Ketinggian (Altitude) : 2006.89, Kemiringan (pitch) : -1.40, Kemiringan (roll) : 3.67
2026-05-21 10:59:44,6843690, Ketinggian (Altitude) : 2006.72, Kemiringan (pitch) : 4.94, Kemiringan (roll) : 2.99
2026-05-21 10:59:45,6844694, Ketinggian (Altitude) : 2006.57, Kemiringan (pitch) : 6.28, Kemiringan (roll) : 10.42
2026-05-21 10:59:46,6845698, Ketinggian (Altitude) : 2006.37, Kemiringan (pitch) : 6.05, Kemiringan (roll) : 8.72
2026-05-21 10:59:47,6846702, Ketinggian (Altitude) : 2006.16, Kemiringan (pitch) : -0.10, Kemiringan (roll) : -3.26
2026-05-21 10:59:48,6847706, Ketinggian (Altitude) : 2005.93, Kemiringan (pitch) : 6.23, Kemiringan (roll) : 6.00
2026-05-21 10:59:49,6848710, Ketinggian (Altitude) : 2005.82, Kemiringan (pitch) : 1.08, Kemiringan (roll) : 9.07
2026-05-21 10:59:50,6849714, Ketinggian (Altitude) : 2005.59, Kemiringan (pitch) : 15.25, Kemiringan (roll) : 6.91
2026-05-21 10:59:51,6850718, Ketinggian (Altitude) : 2005.31, Kemiringan (pitch) : -4.25, Kemiringan (roll) : 25.37
2026-05-21 10:59:52,6851722, Ketinggian (Altitude) : 2005.05, Kemiringan (pitch) : -0.83, Kemiringan (roll) : 4.24
2026-05-21 10:59:53,6852726, Ketinggian (Altitude) : 2004.81, Kemiringan (pitch) : -8.15, Kemiringan (roll) : 8.34
2026-05-21 10:59:54,6853730, Ketinggian (Altitude) : 2004.53, Kemiringan (pitch) : 4.20, Kemiringan (roll) : 0.25
2026-05-21 10:59:55,6854734, Ketinggian (Altitude) : 2004.22, Kemiringan (pitch) : -18.39, Kemiringan (roll) : 10.84
2026-05-21 10:59:56,6855738, Ketinggian (Altitude) : 2003.91, Kemiringan (pitch) : 3.74, Kemiringan (roll) : 1.72
2026-05-21 10:59:57,6856742, Ketinggian (Altitude) : 2003.57, Kemiringan (pitch) : -8.59, Kemiringan (roll) : -0.60
2026-05-21 10:59:58,6857746, Ketinggian (Altitude) : 2003.29, Kemiringan (pitch) : 1.33, Kemiringan (roll) : 10.93
2026-05-21 10:59:59,6858750, Ketinggian (Altitude) : 2002.95, Kemiringan (pitch) : 1.68, Kemiringan (roll) : 10.63
2026-05-21 11:00:00,6859754, Ketinggian (Altitude) : 2002.66, Kemiringan (pitch) : -3.07, Kemiringan (roll) : -2.22
2026-05-21 11:00:01,6860758, Ketinggian (Altitude) : 2002.35, Kemiringan (pitch) : 15.37, Kemiringan (roll) : 2.89
2026-05-21 11:00:02,6861762, Ketinggian (Altitude) : 2002.03, Kemiringan (pitch) : 7.07, Kemiringan (roll) : 4.54
2026-05-21 11:00:03,6862766, Ketinggian (Altitude) : 2001.86, Kemiringan (pitch) : 7.71, Kemiringan (roll) : -6.02
2026-05-21 11:00:04,6863770, Ketinggian (Altitude) : 2001.57, Kemiringan (pitch) : 7.10, Kemiringan (roll) : 6.21
2026-05-21 11:00:05,6864774, Ketinggian (Altitude) : 2001.26, Kemiringan (pitch) : 25.57, Kemiringan (roll) : 1.82
2026-05-21 11:00:06,6865778, Ketinggian (Altitude) : 2000.91, Kemiringan (pitch) : 19.03, Kemiringan (roll) : -0.73
2026-05-21 11:00:07,6866782, Ketinggian (Altitude) : 2000.60, Kemiringan (pitch) : 11.30, Kemiringan (roll) : 0.40
2026-05-21 11:00:08,6867786, Ketinggian (Altitude) : 2000.27, Kemiringan (pitch) : 0.80, Kemiringan (roll) : 9.66
2026-05-21 11:00:09,6868790, Ketinggian (Altitude) : 1999.92, Kemiringan (pitch) : 2.20, Kemiringan (roll) : 4.90
2026-05-21 11:00:10,6869794, Ketinggian (Altitude) : 1999.59, Kemiringan (pitch) : 9.70, Kemiringan (roll) : 1.13
2026-05-21 11:00:11,6870798, Ketinggian (Altitude) : 1999.26, Kemiringan (pitch) : -10.92, Kemiringan (roll) : 1.78
2026-05-21 11:00:12,6871802, Ketinggian (Altitude) : 1998.96, Kemiringan (pitch) : 11.24, Kemiringan (roll) : -0.80
2026-05-21 11:00:13,6872806, Ketinggian (Altitude) : 1998.61, Kemiringan (pitch) : 33.13, Kemiringan (roll) : -1.21
2026-05-21 11:00:14,6873810, Ketinggian (Altitude) : 1998.28, Kemiringan (pitch) : -1.82, Kemiringan (roll) : 14.11
2026-05-21 11:00:15,6874814, Ketinggian (Altitude) : 1997.95, Kemiringan (pitch) : 21.68, Kemiringan (roll) : -2.14
2026-05-21 11:00:16,6875818, Ketinggian (Altitude) : 1997.61, Kemiringan (pitch) : 13.89, Kemiringan (roll) : -12.23
2026-05-21 11:00:17,6876822, Ketinggian (Altitude) : 1997.44, Kemiringan (pitch) : 6.20, Kemiringan (roll) : 0.29
2026-05-21 11:00:18,6877826, Ketinggian (Altitude) : 1997.07, Kemiringan (pitch) : 0.34, Kemiringan (roll) : 11.38
2026-05-21 11:00:19,6878830, Ketinggian (Altitude) : 1996.73, Kemiringan (pitch) : 12.97, Kemiringan (roll) : 8.20
2026-05-21 11:00:20,6879834, Ketinggian (Altitude) : 1996.37, Kemiringan (pitch) : 23.95, Kemiringan (roll) : 7.56
2026-05-21 11:00:21,6880838, Ketinggian (Altitude) : 1996.01, Kemiringan (pitch) : -1.81, Kemiringan (roll) : -2.31
2026-05-21 11:00:22,6881842, Ketinggian (Altitude) : 1995.67, Kemiringan (pitch) : 4.03, Kemiringan (roll) : 2.05
2026-05-21 11:00:23,6882846, Ketinggian (Altitude) : 1995.32, Kemiringan (pitch) : -5.84, Kemiringan (roll) : 2.60
2026-05-21 11:00:24,6883850, Ketinggian (Altitude) : 1994.99, Kemiringan (pitch) : 2.85, Kemiringan (roll) : 6.63
2026-05-21 11:00:25,6884854, Ketinggian (Altitude) : 1994.67, Kemiringan (pitch) : 2.10, Kemiringan (roll) : 1.66
