Waktu_Laptop,Waktu_Boot_ESP32_ms,Ketinggian_m,Pitch_deg,Roll_deg
2026-05-21 10:26:57,4876854, Ketinggian (Altitude) : 1993.32, Kemiringan (pitch) : -0.87, Kemiringan (roll) : -6.39
2026-05-21 10:26:58,4877858, Ketinggian (Altitude) : 1993.36, Kemiringan (pitch) : 8.13, Kemiringan (roll) : -1.65
2026-05-21 10:26:59,4878862, Ketinggian (Altitude) : 1993.38, Kemiringan (pitch) : -9.57, Kemiringan (roll) : 12.14
2026-05-21 10:27:00,4879866, Ketinggian (Altitude) : 1993.41, Kemiringan (pitch) : -5.56, Kemiringan (roll) : -4.39
2026-05-21 10:27:01,4880870, Ketinggian (Altitude) : 1993.41, Kemiringan (pitch) : 8.10, Kemiringan (roll) : -4.35
2026-05-21 10:27:02,4881874, Ketinggian (Altitude) : 1993.39, Kemiringan (pitch) : 8.39, Kemiringan (roll) : -13.56
2026-05-21 10:27:03,4882878, Ketinggian (Altitude) : 1993.41, Kemiringan (pitch) : -1.10, Kemiringan (roll) : 5.76
2026-05-21 10:27:04,4883882, Ketinggian (Altitude) : 1993.41, Kemiringan (pitch) : -5.97, Kemiringan (roll) : 0.30
2026-05-21 10:27:05,4884886, Ketinggian (Altitude) : 1993.38, Kemiringan (pitch) : -1.29, Kemiringan (roll) : -2.50
2026-05-21 10:27:06,4885890, Ketinggian (Altitude) : 1993.38, Kemiringan (pitch) : 2.11, Kemiringan (roll) : -3.26
2026-05-21 10:27:07,4886894, Ketinggian (Altitude) : 1993.35, Kemiringan (pitch) : 6.07, Kemiringan (roll) : 3.70
2026-05-21 10:27:08,4887898, Ketinggian (Altitude) : 1993.37, Kemiringan (pitch) : -9.16, Kemiringan (roll) : -6.62
2026-05-21 10:27:09,4888902, Ketinggian (Altitude) : 1993.35, Kemiringan (pitch) : 19.24, Kemiringan (roll) : 5.98
2026-05-21 10:27:10,4889906, Ketinggian (Altitude) : 1993.35, Kemiringan (pitch) : 16.77, Kemiringan (roll) : 10.17
2026-05-21 10:27:11,4890910, Ketinggian (Altitude) : 1993.32, Kemiringan (pitch) : -2.41, Kemiringan (roll) : 12.18
2026-05-21 10:27:12,4891914, Ketinggian (Altitude) : 1993.30, Kemiringan (pitch) : 14.36, Kemiringan (roll) : 9.85
2026-05-21 10:27:13,4892918, Ketinggian (Altitude) : 1993.27, Kemiringan (pitch) : 15.61, Kemiringan (roll) : 5.11
2026-05-21 10:27:14,4893922, Ketinggian (Altitude) : 1993.24, Kemiringan (pitch) : 22.69, Kemiringan (roll) : -27.18
2026-05-21 10:27:15,4894926, Ketinggian (Altitude) : 1993.21, Kemiringan (pitch) : 8.35, Kemiringan (roll) : -19.83
2026-05-21 10:27:16,4895930, Ketinggian (Altitude) : 1993.18, Kemiringan (pitch) : -5.41, Kemiringan (roll) : 14.33
2026-05-21 10:27:17,4896934, Ketinggian (Altitude) : 1993.14, Kemiringan (pitch) : 0.31, Kemiringan (roll) : 8.60
2026-05-21 10:27:18,4897938, Ketinggian (Altitude) : 1993.11, Kemiringan (pitch) : -1.48, Kemiringan (roll) : -6.42
2026-05-21 10:27:19,4898942, Ketinggian (Altitude) : 1993.08, Kemiringan (pitch) : -5.52, Kemiringan (roll) : 1.53
2026-05-21 10:27:20,4899946, Ketinggian (Altitude) : 1993.02, Kemiringan (pitch) : 16.83, Kemiringan (roll) : -5.50
2026-05-21 10:27:21,4900950, Ketinggian (Altitude) : 1992.98, Kemiringan (pitch) : 5.96, Kemiringan (roll) : -6.42
2026-05-21 10:27:22,4901954, Ketinggian (Altitude) : 1992.95, Kemiringan (pitch) : 12.79, Kemiringan (roll) : -2.08
