Waktu_Laptop,Waktu_Boot_ESP32_ms,Ketinggian_m,Pitch_deg,Roll_deg
2026-05-21 10:09:37,3836710, Ketinggian (Altitude) : 1998.09, Kemiringan (pitch) : 4.71, Kemiringan (roll) : -0.14
2026-05-21 10:09:38,3837714, Ketinggian (Altitude) : 1998.06, Kemiringan (pitch) : 17.49, Kemiringan (roll) : 1.72
2026-05-21 10:09:39,3838718, Ketinggian (Altitude) : 1998.03, Kemiringan (pitch) : -5.00, Kemiringan (roll) : -2.96
2026-05-21 10:09:40,3839722, Ketinggian (Altitude) : 1998.01, Kemiringan (pitch) : 0.98, Kemiringan (roll) : -4.84
2026-05-21 10:09:41,3840726, Ketinggian (Altitude) : 1997.96, Kemiringan (pitch) : 5.13, Kemiringan (roll) : 0.30
2026-05-21 10:09:42,3841730, Ketinggian (Altitude) : 1997.93, Kemiringan (pitch) : 0.52, Kemiringan (roll) : -0.88
2026-05-21 10:09:43,3842734, Ketinggian (Altitude) : 1997.87, Kemiringan (pitch) : -2.28, Kemiringan (roll) : -15.58
2026-05-21 10:09:44,3843738, Ketinggian (Altitude) : 1997.81, Kemiringan (pitch) : 0.19, Kemiringan (roll) : -5.05
2026-05-21 10:09:45,3844742, Ketinggian (Altitude) : 1997.78, Kemiringan (pitch) : 13.72, Kemiringan (roll) : -13.30
2026-05-21 10:09:46,3845746, Ketinggian (Altitude) : 1997.73, Kemiringan (pitch) : -18.27, Kemiringan (roll) : -4.89
2026-05-21 10:09:47,3846750, Ketinggian (Altitude) : 1997.69, Kemiringan (pitch) : 6.00, Kemiringan (roll) : -7.45
2026-05-21 10:09:48,3847754, Ketinggian (Altitude) : 1997.64, Kemiringan (pitch) : 2.53, Kemiringan (roll) : -18.21
2026-05-21 10:09:49,3848758, Ketinggian (Altitude) : 1997.58, Kemiringan (pitch) : 8.02, Kemiringan (roll) : -3.81
2026-05-21 10:09:50,3849762, Ketinggian (Altitude) : 1997.53, Kemiringan (pitch) : 6.96, Kemiringan (roll) : -9.49
