Waktu_Laptop,Waktu_Boot_ESP32_ms,Ketinggian_m,Pitch_deg,Roll_deg
2026-05-21 10:16:27,4246342, Ketinggian (Altitude) : 1961.22, Kemiringan (pitch) : 7.46, Kemiringan (roll) : -4.71
2026-05-21 10:16:28,4247346, Ketinggian (Altitude) : 1961.01, Kemiringan (pitch) : 13.01, Kemiringan (roll) : -3.83
2026-05-21 10:16:29,4248350, Ketinggian (Altitude) : 1960.84, Kemiringan (pitch) : 22.90, Kemiringan (roll) : -12.11
2026-05-21 10:16:30,4249354, Ketinggian (Altitude) : 1960.66, Kemiringan (pitch) : -4.14, Kemiringan (roll) : 7.79
2026-05-21 10:16:31,4250358, Ketinggian (Altitude) : 1960.55, Kemiringan (pitch) : 8.21, Kemiringan (roll) : 3.18
2026-05-21 10:16:32,4251362, Ketinggian (Altitude) : 1960.40, Kemiringan (pitch) : 18.27, Kemiringan (roll) : 18.95
2026-05-21 10:16:33,4252366, Ketinggian (Altitude) : 1960.32, Kemiringan (pitch) : -12.11, Kemiringan (roll) : -16.30
2026-05-21 10:16:34,4253370, Ketinggian (Altitude) : 1960.23, Kemiringan (pitch) : 6.98, Kemiringan (roll) : 0.44
2026-05-21 10:16:35,4254374, Ketinggian (Altitude) : 1960.18, Kemiringan (pitch) : 10.62, Kemiringan (roll) : -21.13
2026-05-21 10:16:36,4255378, Ketinggian (Altitude) : 1960.15, Kemiringan (pitch) : 5.39, Kemiringan (roll) : -6.85
2026-05-21 10:16:37,4256382, Ketinggian (Altitude) : 1960.12, Kemiringan (pitch) : -17.42, Kemiringan (roll) : -10.27
2026-05-21 10:16:38,4257386, Ketinggian (Altitude) : 1960.12, Kemiringan (pitch) : 12.50, Kemiringan (roll) : -4.89
2026-05-21 10:16:39,4258390, Ketinggian (Altitude) : 1960.12, Kemiringan (pitch) : 30.50, Kemiringan (roll) : 15.81
2026-05-21 10:16:40,4259394, Ketinggian (Altitude) : 1960.10, Kemiringan (pitch) : 8.42, Kemiringan (roll) : -41.09
2026-05-21 10:16:41,4260398, Ketinggian (Altitude) : 1960.15, Kemiringan (pitch) : -1.09, Kemiringan (roll) : -5.48
2026-05-21 10:16:42,4261402, Ketinggian (Altitude) : 1960.20, Kemiringan (pitch) : 9.70, Kemiringan (roll) : -15.14
2026-05-21 10:16:43,4262406, Ketinggian (Altitude) : 1960.23, Kemiringan (pitch) : 5.88, Kemiringan (roll) : 5.86
2026-05-21 10:16:44,4263410, Ketinggian (Altitude) : 1960.29, Kemiringan (pitch) : 15.19, Kemiringan (roll) : -6.19
2026-05-21 10:16:45,4264414, Ketinggian (Altitude) : 1960.35, Kemiringan (pitch) : 26.18, Kemiringan (roll) : 10.69
2026-05-21 10:16:46,4265418, Ketinggian (Altitude) : 1960.40, Kemiringan (pitch) : -5.08, Kemiringan (roll) : -2.02
2026-05-21 10:16:47,4266422, Ketinggian (Altitude) : 1960.44, Kemiringan (pitch) : 5.52, Kemiringan (roll) : -4.04
2026-05-21 10:16:48,4267426, Ketinggian (Altitude) : 1960.52, Kemiringan (pitch) : 13.85, Kemiringan (roll) : -6.96
2026-05-21 10:16:49,4268430, Ketinggian (Altitude) : 1960.58, Kemiringan (pitch) : 3.87, Kemiringan (roll) : -1.76
