Waktu_Laptop,Waktu_Boot_ESP32_ms,Ketinggian_m,Pitch_deg,Roll_deg
2026-05-21 10:30:44,5103758, Ketinggian (Altitude) : 1981.71, Kemiringan (pitch) : 15.70, Kemiringan (roll) : 13.36
2026-05-21 10:30:45,5104762, Ketinggian (Altitude) : 1981.66, Kemiringan (pitch) : -1.96, Kemiringan (roll) : 22.42
2026-05-21 10:30:46,5105766, Ketinggian (Altitude) : 1981.60, Kemiringan (pitch) : -7.68, Kemiringan (roll) : -3.90
2026-05-21 10:30:47,5106770, Ketinggian (Altitude) : 1981.59, Kemiringan (pitch) : 9.36, Kemiringan (roll) : 17.58
2026-05-21 10:30:48,5107774, Ketinggian (Altitude) : 1981.52, Kemiringan (pitch) : 5.08, Kemiringan (roll) : 13.88
2026-05-21 10:30:49,5108778, Ketinggian (Altitude) : 1981.46, Kemiringan (pitch) : 9.90, Kemiringan (roll) : 3.86
2026-05-21 10:30:50,5109782, Ketinggian (Altitude) : 1981.36, Kemiringan (pitch) : 3.63, Kemiringan (roll) : 27.85
2026-05-21 10:30:51,5110786, Ketinggian (Altitude) : 1981.27, Kemiringan (pitch) : -0.74, Kemiringan (roll) : 5.02
2026-05-21 10:30:52,5111790, Ketinggian (Altitude) : 1981.19, Kemiringan (pitch) : 0.35, Kemiringan (roll) : -0.60
2026-05-21 10:30:53,5112794, Ketinggian (Altitude) : 1981.10, Kemiringan (pitch) : 10.42, Kemiringan (roll) : 16.59
2026-05-21 10:30:54,5113798, Ketinggian (Altitude) : 1981.01, Kemiringan (pitch) : -1.43, Kemiringan (roll) : -2.80
2026-05-21 10:30:55,5114802, Ketinggian (Altitude) : 1980.90, Kemiringan (pitch) : 2.40, Kemiringan (roll) : -2.36
2026-05-21 10:30:56,5115806, Ketinggian (Altitude) : 1980.77, Kemiringan (pitch) : 7.20, Kemiringan (roll) : 10.53
2026-05-21 10:30:57,5116810, Ketinggian (Altitude) : 1980.62, Kemiringan (pitch) : -14.54, Kemiringan (roll) : 5.89
2026-05-21 10:30:58,5117814, Ketinggian (Altitude) : 1980.57, Kemiringan (pitch) : 9.88, Kemiringan (roll) : 8.21
2026-05-21 10:30:59,5118818, Ketinggian (Altitude) : 1980.42, Kemiringan (pitch) : -4.79, Kemiringan (roll) : 6.46
2026-05-21 10:31:00,5119822, Ketinggian (Altitude) : 1980.31, Kemiringan (pitch) : -4.27, Kemiringan (roll) : 6.36
2026-05-21 10:31:01,5120826, Ketinggian (Altitude) : 1980.21, Kemiringan (pitch) : -10.59, Kemiringan (roll) : 14.45
2026-05-21 10:31:02,5121830, Ketinggian (Altitude) : 1980.12, Kemiringan (pitch) : 10.15, Kemiringan (roll) : 12.56
2026-05-21 10:31:03,5122834, Ketinggian (Altitude) : 1980.03, Kemiringan (pitch) : 9.03, Kemiringan (roll) : 26.57
2026-05-21 10:31:04,5123838, Ketinggian (Altitude) : 1979.98, Kemiringan (pitch) : 18.55, Kemiringan (roll) : 10.79
2026-05-21 10:31:05,5124842, Ketinggian (Altitude) : 1979.92, Kemiringan (pitch) : -5.94, Kemiringan (roll) : 8.17
2026-05-21 10:31:06,5125846, Ketinggian (Altitude) : 1979.89, Kemiringan (pitch) : -5.56, Kemiringan (roll) : 4.07
2026-05-21 10:31:07,5126850, Ketinggian (Altitude) : 1979.83, Kemiringan (pitch) : 19.46, Kemiringan (roll) : 6.17
2026-05-21 10:31:08,5127854, Ketinggian (Altitude) : 1979.79, Kemiringan (pitch) : -5.67, Kemiringan (roll) : 12.02
2026-05-21 10:31:09,5128858, Ketinggian (Altitude) : 1979.77, Kemiringan (pitch) : 4.61, Kemiringan (roll) : 0.20
2026-05-21 10:31:10,5129862, Ketinggian (Altitude) : 1979.75, Kemiringan (pitch) : 12.96, Kemiringan (roll) : 20.96
2026-05-21 10:31:11,5130866, Ketinggian (Altitude) : 1979.75, Kemiringan (pitch) : 0.00, Kemiringan (roll) : -4.56
2026-05-21 10:31:12,5131870, Ketinggian (Altitude) : 1979.74, Kemiringan (pitch) : -0.88, Kemiringan (roll) : 18.61
2026-05-21 10:31:13,5132874, Ketinggian (Altitude) : 1979.72, Kemiringan (pitch) : 13.54, Kemiringan (roll) : 6.97
2026-05-21 10:31:14,5133878, Ketinggian (Altitude) : 1979.69, Kemiringan (pitch) : 1.57, Kemiringan (roll) : -1.61
2026-05-21 10:31:15,5134882, Ketinggian (Altitude) : 1979.69, Kemiringan (pitch) : -1.49, Kemiringan (roll) : 12.57
2026-05-21 10:31:16,5135886, Ketinggian (Altitude) : 1979.69, Kemiringan (pitch) : 9.98, Kemiringan (roll) : 25.24
2026-05-21 10:31:17,5136890, Ketinggian (Altitude) : 1979.69, Kemiringan (pitch) : 3.72, Kemiringan (roll) : 3.90
2026-05-21 10:31:18,5137894, Ketinggian (Altitude) : 1979.74, Kemiringan (pitch) : 9.37, Kemiringan (roll) : 7.78
2026-05-21 10:31:19,5138898, Ketinggian (Altitude) : 1979.76, Kemiringan (pitch) : 2.11, Kemiringan (roll) : -4.22
2026-05-21 10:31:20,5139902, Ketinggian (Altitude) : 1979.77, Kemiringan (pitch) : 5.68, Kemiringan (roll) : 0.64
2026-05-21 10:31:21,5140906, Ketinggian (Altitude) : 1979.80, Kemiringan (pitch) : -2.69, Kemiringan (roll) : 1.96
2026-05-21 10:31:22,5141910, Ketinggian (Altitude) : 1979.83, Kemiringan (pitch) : -1.37, Kemiringan (roll) : -6.19
2026-05-21 10:31:23,5142914, Ketinggian (Altitude) : 1979.86, Kemiringan (pitch) : -14.94, Kemiringan (roll) : 12.77
2026-05-21 10:31:24,5143918, Ketinggian (Altitude) : 1979.92, Kemiringan (pitch) : 11.53, Kemiringan (roll) : -7.57
2026-05-21 10:31:25,5144922, Ketinggian (Altitude) : 1979.97, Kemiringan (pitch) : 1.48, Kemiringan (roll) : 24.68
2026-05-21 10:31:26,5145926, Ketinggian (Altitude) : 1980.02, Kemiringan (pitch) : -11.46, Kemiringan (roll) : -0.16
2026-05-21 10:31:27,5146930, Ketinggian (Altitude) : 1980.08, Kemiringan (pitch) : 15.82, Kemiringan (roll) : 12.55
2026-05-21 10:31:28,5147934, Ketinggian (Altitude) : 1980.14, Kemiringan (pitch) : -3.61, Kemiringan (roll) : -29.55
2026-05-21 10:31:29,5148938, Ketinggian (Altitude) : 1980.22, Kemiringan (pitch) : -10.10, Kemiringan (roll) : -14.16
2026-05-21 10:31:30,5149942, Ketinggian (Altitude) : 1980.31, Kemiringan (pitch) : -11.55, Kemiringan (roll) : 46.49
2026-05-21 10:31:31,5150946, Ketinggian (Altitude) : 1980.36, Kemiringan (pitch) : 9.27, Kemiringan (roll) : 25.28
2026-05-21 10:31:32,5151950, Ketinggian (Altitude) : 1980.45, Kemiringan (pitch) : 3.99, Kemiringan (roll) : 7.41
2026-05-21 10:31:33,5152954, Ketinggian (Altitude) : 1980.51, Kemiringan (pitch) : -4.48, Kemiringan (roll) : 9.92
2026-05-21 10:31:34,5153958, Ketinggian (Altitude) : 1980.57, Kemiringan (pitch) : 7.44, Kemiringan (roll) : 4.10
2026-05-21 10:31:35,5154962, Ketinggian (Altitude) : 1980.65, Kemiringan (pitch) : -10.28, Kemiringan (roll) : -1.58
2026-05-21 10:31:36,5155966, Ketinggian (Altitude) : 1980.71, Kemiringan (pitch) : -4.41, Kemiringan (roll) : 0.63
